date,tot,en,es,ja,ru,de,fr,pt,it,pl,zh,tr,nl,ar,sv,id,cs,th,ko,fa,uk,fi,vi,hu,no,he,ro,da,el,bg,hr,ca,sk,sr,lt,simple,ms,sl,et,sh,tl,kk,hi,ka,lv,bs,az,eo,sq,eu,ta,nn,zh_yue,mk,gl,hy,be,af,bn,arz,ml,mr,is,la,war,oc,ur,lb,be_x_old,ceb,an,te,mn,sw,cy,br,jv,uz,als,ga,ast,kn,fy,bar,nds,vo,gu,ang,su,sco,scn,tt,ckb,ne,bat_smg,my,lmo,ku,ky,io,cv,si,ia,qu,am,new,vec,pms,ht,yi,nap,pnb,yo,zh_classical,nah,mi,hif,mg,bpy,li,fo,mzn,ba,zh_min_nan,pa,km,ilo,map_bms,gd,pam,bcl,mt,os,gan,sah,nds_nl,diq,sa,co,wuu,so,dsb,as,hsb,gv,tg,wa,vls,dv,se,ce,bo,or,ksh,ps,lad,tk,mhr,rue,bug,ace,nrm,gn,fiu_vro,szl,ig,mwl,frr,stq,fur,hak,frp,nov,roa_tara,kw,ext,csb,eml,kv,lij,ay,sc,lo,bjn,rm,ab,ug,krc,pdc,crh,udm,zea,bh,cbk_zam,ln,pcd,na,myv,glk,kl,lez,ie,vep,mrj,jbo,xal,pag,tpi,koi,av,pap,kab,rw,sn,zu,bxr,kbd,bm,roa_rup,chr,kaa,mdf,cdo,tet,iu,got,kg,pih,bi,nso,srn,ss,om,dz,tn,ik,cr,sm,xh,tw,ve
12/31/2012,14713,6191,897,729,764,749,925,317,442,163,369,117,215,170,147,100,154,59,178,198,182,77,56,77,121,127,63,62,60,63,28,165,25,41,26,66,27,38,40,6,5,17,9,16,19,9,34,12,13,7,14,11,3,12,12,15,11,5,14,6,26,10,8,10,1,3,5,2,5,1,0,4,7,1,9,3,1,4,1,3,2,4,4,1,2,1,6,1,1,1,0,2,4,0,0,3,1,1,16,0,1,1,0,2,0,0,0,0,1,2,0,1,1,1,0,0,1,0,0,0,0,1,6,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,3,0,0,1,0,1,1,1,1,2,0,1,2,2,1,0,0,2,0,1,0,1,2,0,0,0,1,0,2,1,1,0,0,1,2,1,2,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/2012,15249,6531,908,656,862,905,1029,264,475,166,386,101,215,173,151,72,139,51,145,181,178,91,49,97,168,105,73,53,98,49,39,137,35,50,32,35,25,25,35,6,11,5,22,9,9,10,29,12,9,10,11,15,6,8,28,15,8,7,11,1,14,8,13,10,1,1,8,0,7,0,2,6,16,3,6,5,6,4,1,0,0,5,1,0,1,0,4,0,2,0,0,1,1,2,1,1,0,3,4,4,1,2,1,0,1,1,1,1,1,2,1,1,1,1,1,0,1,0,0,0,0,1,3,0,8,1,0,0,1,2,1,1,0,0,0,0,0,0,1,3,0,1,4,1,0,1,0,0,0,0,0,7,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
10/31/2012,15160,6686,992,771,780,869,932,269,422,189,390,103,195,189,154,80,111,80,153,144,131,73,77,94,151,130,71,65,58,58,40,76,33,34,34,26,20,23,29,8,5,10,15,10,18,4,20,18,13,12,8,3,9,9,12,9,12,1,14,2,13,11,5,6,1,10,4,3,6,0,5,7,4,2,2,3,5,4,4,3,2,5,3,1,4,2,4,1,1,2,0,5,3,4,0,1,1,5,2,0,0,5,0,0,1,1,3,2,0,1,2,1,2,3,0,0,0,1,0,2,0,2,2,0,2,2,0,0,2,0,0,0,0,0,1,1,1,2,0,0,1,0,3,0,0,2,0,0,1,1,0,1,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
09/30/2012,14007,6053,863,694,672,822,826,297,496,164,396,110,164,179,138,80,101,97,126,165,108,88,54,88,122,124,81,57,58,63,32,66,29,38,13,40,8,19,20,9,4,7,8,12,15,6,31,18,10,12,15,11,8,12,7,13,12,7,17,3,13,8,12,7,1,4,5,3,0,0,0,4,6,2,5,2,31,2,5,2,0,4,1,1,1,0,7,0,0,6,1,1,3,1,0,6,1,0,9,1,0,6,0,1,0,0,3,0,0,1,1,2,0,0,2,0,0,0,0,1,1,2,2,1,4,0,0,0,2,0,0,0,0,0,1,1,1,2,0,0,1,0,3,0,0,0,0,1,1,2,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
08/31/2012,15145,6610,984,708,780,893,925,272,543,224,424,115,214,158,145,96,100,77,174,166,133,99,60,83,95,121,75,54,41,42,27,51,28,58,18,30,22,20,20,9,9,5,18,12,10,7,28,17,13,11,16,11,5,9,14,9,6,4,12,3,17,13,3,12,1,3,3,7,9,1,2,9,0,2,2,1,1,5,1,2,0,1,1,5,2,2,6,3,2,2,5,2,6,3,1,0,0,1,4,1,1,6,2,2,4,0,0,1,1,2,1,1,1,0,0,0,1,1,0,2,3,0,0,1,4,0,0,0,1,0,1,1,0,1,0,0,2,4,1,2,1,2,1,1,1,2,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,1,1,0,0,2,0,2,0,0,2,0,0,0,1,1,2,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
07/31/2012,15756,6895,1007,701,792,956,903,345,556,211,448,130,206,171,124,103,117,75,159,231,144,81,70,98,95,156,75,44,68,48,39,77,36,43,22,45,11,22,17,14,10,13,22,18,10,10,23,12,9,6,8,7,6,8,7,14,9,8,11,3,18,2,3,12,2,5,3,4,6,1,2,3,0,0,4,5,10,2,0,1,4,4,2,1,0,0,2,1,0,0,1,5,6,5,0,4,1,0,7,1,2,3,2,0,0,0,1,3,0,0,0,2,2,4,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,1,1,1,1,6,0,0,2,0,2,2,1,1,1,0,1,1,1,0,5,0,1,0,1,0,2,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
06/30/2012,15365,6630,909,683,761,872,926,317,537,187,334,125,210,171,130,90,118,75,135,204,117,95,94,95,94,161,88,57,61,52,39,110,29,49,22,64,25,37,25,10,9,35,19,14,9,7,20,18,23,6,20,7,9,9,14,9,17,3,13,2,18,8,6,9,3,8,5,14,3,1,2,4,4,5,5,6,40,5,1,2,3,5,3,2,5,2,5,2,0,1,3,1,5,6,2,4,1,3,30,2,2,4,2,2,1,0,1,1,2,1,0,2,1,2,1,0,1,0,0,2,0,1,2,2,1,3,0,0,1,0,1,1,0,1,0,1,1,1,0,1,2,1,7,2,1,3,1,0,1,1,0,1,4,1,1,0,1,1,3,1,2,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,2,2,1,2,0,2,2,1,1,0,0,0,1,1,0,0,0,2,2,0,0,1,1,1,1,3,3,0,0,0,0,0,1,0,3,2,1,0,1,1,1,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
05/31/2012,16206,6907,1037,672,849,875,930,338,562,198,387,127,220,204,144,130,150,68,223,219,157,99,95,113,112,108,77,61,98,60,30,122,24,70,17,38,20,73,26,8,8,11,9,9,12,7,25,14,12,20,15,13,8,14,16,14,6,6,17,6,13,3,5,8,0,4,3,10,3,0,3,6,11,1,5,0,37,1,1,4,5,3,1,3,0,2,4,0,3,1,2,2,7,0,0,4,1,1,10,3,4,2,3,0,1,0,0,1,0,1,2,2,1,1,0,0,2,1,0,1,0,4,1,1,1,0,1,1,1,0,3,2,1,2,2,1,1,0,0,1,4,1,5,2,0,0,0,1,1,2,1,0,12,1,0,1,2,15,0,1,0,1,0,0,1,0,0,2,0,0,2,2,1,0,1,1,1,0,0,1,0,0,2,1,2,1,1,0,1,0,1,1,0,1,1,0,0,0,2,1,1,0,2,2,0,2,1,3,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0
04/30/2012,15805,7198,874,718,793,877,874,304,523,192,307,98,218,177,153,104,174,71,174,166,156,102,73,109,118,129,88,61,65,59,38,91,33,37,32,38,10,30,40,3,5,11,14,7,11,10,24,25,10,18,9,12,7,9,30,7,6,5,21,1,9,11,58,5,1,3,5,10,3,0,2,7,7,3,5,3,0,1,2,3,0,5,0,3,3,2,5,0,1,0,0,1,4,0,1,0,1,6,9,1,0,2,3,0,0,0,2,3,0,0,1,0,3,0,1,0,0,1,0,0,2,0,3,0,1,0,1,0,2,0,0,0,0,1,0,2,0,2,0,4,1,2,7,1,0,1,0,0,1,1,0,0,4,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
03/31/2012,16239,7330,863,834,854,1042,918,276,451,197,312,81,220,151,145,110,140,68,144,182,198,80,59,117,119,164,73,65,69,60,35,82,30,46,23,45,18,59,40,5,5,18,12,12,20,11,26,21,10,45,10,11,4,11,24,16,11,7,16,4,17,10,26,5,1,4,1,1,4,0,3,5,1,4,0,1,2,7,2,3,1,8,1,1,2,1,1,0,0,3,0,1,1,2,0,1,0,2,7,1,2,2,1,1,1,0,0,0,1,0,0,1,0,3,1,1,0,0,1,2,3,0,2,0,0,8,1,0,1,1,0,2,1,2,0,3,1,2,1,0,1,1,5,0,1,4,0,1,0,0,0,4,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,2,2,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,1,0,2,1,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
